id,sis_id,submitted,attempt,confidence_level_combined,iso_ortho_text,iso_ortho_num,ortho_iso_text,ortho_iso_num,participated_in_treatment
245101,726519129,2020-08-08 10:39:15 UTC,1,"Disagree,Neutral",Disagree,2,Neutral,3,TRUE
213909,899903137,2020-08-08 09:12:21 UTC,1,"Disagree,Neutral",Disagree,2,Neutral,3,TRUE
249902,552716754,2020-08-06 10:11:06 UTC,1,"Disagree,Neutral",Disagree,2,Neutral,3,TRUE
256718,955395465,2020-08-09 06:31:31 UTC,1,"Disagree,Strongly agree",Disagree,2,Strongly agree,5,TRUE
226685,294851856,2020-08-09 20:34:09 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
254550,867709049,2020-08-09 13:28:49 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
261890,711037063,2020-08-09 11:34:40 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
226913,857973452,2020-08-09 10:36:25 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
257308,472821159,2020-08-09 09:59:15 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
252850,786833945,2020-08-09 09:50:40 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
243752,267826815,2020-08-09 09:49:21 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
255915,605448387,2020-08-09 08:01:49 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
247929,704386396,2020-08-09 08:00:21 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
250400,233904926,2020-08-09 07:11:52 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
246440,808813137,2020-08-09 05:26:02 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
201982,641851077,2020-08-09 03:55:11 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
270606,409750028,2020-08-09 02:32:30 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
258348,563173118,2020-08-09 00:58:40 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
248894,453995786,2020-08-08 05:56:20 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
247343,843754953,2020-08-08 05:36:28 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
262479,658581974,2020-08-08 02:51:56 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
249678,626330775,2020-08-08 00:36:51 UTC,1,"Neutral,Agree",Neutral,3,Agree,4,TRUE
256889,166932766,2020-08-09 12:46:04 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
252263,936672199,2020-08-09 10:53:55 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
261229,766589498,2020-08-09 10:51:32 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
242404,180087933,2020-08-09 09:54:05 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
244961,237423070,2020-08-09 07:31:01 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
262311,501299719,2020-08-09 05:44:14 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
268041,419099478,2020-08-09 03:08:01 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
215530,246668993,2020-08-08 11:44:47 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
247267,948100454,2020-08-07 23:02:10 UTC,1,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
260315,921461081,2020-08-09 20:55:01 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
261219,434015885,2020-08-09 20:47:44 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
254861,999939698,2020-08-09 20:42:39 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
234832,273946928,2020-08-09 13:00:20 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
259051,837051522,2020-08-09 12:16:39 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
230747,711265939,2020-08-09 11:19:23 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
275907,649911679,2020-08-09 11:15:47 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
254000,759628802,2020-08-09 10:16:47 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
261121,631156441,2020-08-09 10:12:15 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
245954,191365388,2020-08-09 10:11:48 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
255426,378684936,2020-08-09 10:08:29 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
260099,838244209,2020-08-09 09:54:53 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
257936,510674795,2020-08-09 09:22:11 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
253070,291426168,2020-08-09 09:07:45 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
258010,713375707,2020-08-09 08:54:54 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
200497,756680677,2020-08-09 08:49:59 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
160372,183368087,2020-08-09 08:40:47 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
256441,959759115,2020-08-09 08:27:29 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
253823,461376061,2020-08-09 08:16:56 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
256163,973031120,2020-08-09 08:07:59 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
239214,111592442,2020-08-09 08:00:56 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
259483,411519546,2020-08-09 07:53:15 UTC,1,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
